Start Time;Duration;Title;Device Type;Bookmark;Latest Bookmark;Type;Genre
11/29/23 11:05;0:09:39;Gilmore Girls: Season 2: Run Away Little Boy (Episode 9);iPhone 12 Pro;0:10:31;0:10:31;Witty, Romantic, Intimate;Romantic TV Dramas
11/29/23 10:58;0:06:36;Gilmore Girls: Season 2: The Ins & Outs of Inns (Episode 8);iPhone 12 Pro;0:43:51;0:43:51;Witty, Romantic, Intimate;Romantic TV Dramas
11/20/23 22:45;0:37:35;Gilmore Girls: Season 2: The Ins & Outs of Inns (Episode 8);Netflix Chrome MAC (Cadmium) HTML 5;0:37:35;Not latest view;Witty, Romantic, Intimate;Romantic TV Dramas
11/20/23 22:01;0:43:59;Gilmore Girls: Season 2: Like Mother, Like Daughter (Episode 7);Netflix Chrome MAC (Cadmium) HTML 5;0:43:49;0:43:49;Witty, Romantic, Intimate;Romantic TV Dramas
11/20/23 21:14;0:44:00;Gilmore Girls: Season 2: Presenting Lorelai Gilmore (Episode 6);Netflix Chrome MAC (Cadmium) HTML 5;0:43:51;0:43:51;Witty, Romantic, Intimate;Romantic TV Dramas
11/20/23 20:27;0:36:05;Gilmore Girls: Season 2: Nick & Nora/Sid & Nancy (Episode 5);Netflix Chrome MAC (Cadmium) HTML 5;0:43:50;0:43:50;Witty, Romantic, Intimate;Romantic TV Dramas
11/9/23 14:37;0:20:14;The Tailor: Season 3: Episode 8;Apple iPad 10.2 inch 7th Gen Wi-Fi iPad;0:23:14;0:23:14;Intimate, Suspenseful, Emotional;TV Dramas
11/9/23 14:08;0:26:18;The Tailor: Season 3: Episode 7;Apple iPad 10.2 inch 7th Gen Wi-Fi iPad;0:36:11;0:36:11;Intimate, Suspenseful, Emotional;TV Dramas
11/7/23 19:25;0:03:44;The Tailor: Season 3: Episode 5;Netflix Chrome MAC (Cadmium) HTML 5;0:07:31;0:07:31;Intimate, Suspenseful, Emotional;TV Dramas
11/7/23 18:26;0:27:42;The Tailor: Season 3: Episode 4;Netflix Chrome MAC (Cadmium) HTML 5;0:36:31;0:36:31;Intimate, Suspenseful, Emotional;TV Dramas
11/7/23 17:55;0:31:17;The Tailor: Season 3: Episode 3;Netflix Chrome MAC (Cadmium) HTML 5;0:32:36;0:32:36;Intimate, Suspenseful, Emotional;TV Dramas
11/7/23 17:09;0:41:27;The Tailor: Season 3: Episode 2;Netflix Chrome MAC (Cadmium) HTML 5;0:40:32;0:40:32;Intimate, Suspenseful, Emotional;TV Dramas
11/7/23 16:15;0:26:34;The Tailor: Season 3: Episode 1;iPhone 12 Pro;0:27:24;0:27:24;Intimate, Suspenseful, Emotional;TV Dramas
10/29/23 18:11;0:09:37;Gilmore Girls: Season 2: Nick & Nora/Sid & Nancy (Episode 5);Netflix Chrome MAC (Cadmium) HTML 5;0:09:37;Not latest view;Witty, Romantic, Intimate;Romantic TV Dramas
10/29/23 18:07;0:04:28;Gilmore Girls: Season 2: The Road Trip to Harvard (Episode 4);Netflix Chrome MAC (Cadmium) HTML 5;0:42:42;0:42:42;Witty, Romantic, Intimate;Romantic TV Dramas
10/29/23 18:06;0:00:21;Gilmore Girls: Season 2: Nick & Nora/Sid & Nancy (Episode 5);Netflix Chrome MAC (Cadmium) HTML 5;0:00:21;Not latest view;Witty, Romantic, Intimate;Romantic TV Dramas
10/16/23 15:54;0:09:37;Gilmore Girls: Season 2: The Road Trip to Harvard (Episode 4);Netflix Chrome MAC (Cadmium) HTML 5;0:43:20;Not latest view;Witty, Romantic, Intimate;Romantic TV Dramas
10/16/23 11:43;0:37:46;Gilmore Girls: Season 2: The Road Trip to Harvard (Episode 4);Netflix Chrome MAC (Cadmium) HTML 5;0:37:02;Not latest view;Witty, Romantic, Intimate;Romantic TV Dramas
10/16/23 11:10;0:32:47;Gilmore Girls: Season 2: Red Light on the Wedding Night (Episode 3);Netflix Chrome MAC (Cadmium) HTML 5;0:43:27;0:43:27;Witty, Romantic, Intimate;Romantic TV Dramas
10/11/23 11:57;0:09:48;Gilmore Girls: Season 2: Red Light on the Wedding Night (Episode 3);Netflix Chrome MAC (Cadmium) HTML 5;0:10:39;Not latest view;Witty, Romantic, Intimate;Romantic TV Dramas
10/11/23 11:57;0:00:03;Gilmore Girls: Season 2: Hammers and Veils (Episode 2);Netflix Chrome MAC (Cadmium) HTML 5;0:33:03;0:33:03;Witty, Romantic, Intimate;Romantic TV Dramas
